score_num,ranking,movie_name,score
105369人评价,215,叫我第一名,8.6
216182人评价,216,无耻混蛋,8.4
226978人评价,217,穆赫兰道,8.3
112144人评价,218,非常嫌疑犯,8.6
442302人评价,219,初恋这件小事,8.2
84980人评价,220,勇士,8.9
243466人评价,221,模仿游戏,8.5
93017人评价,222,上帝也疯狂,8.6
266325人评价,223,蓝色大门,8.3
45693人评价,224,爱·回家,9.0
110077人评价,225,爱在午夜降临前,8.8
178237人评价,226,无敌破坏王,8.6
87075人评价,227,大卫·戈尔的一生,8.6
125194人评价,228,血钻,8.5
141076人评价,229,房间,8.8
326177人评价,230,国王的演讲,8.3
95579人评价,231,枪火,8.6
298933人评价,232,疯狂的石头,8.2
123338人评价,233,麦兜故事,8.5
197240人评价,234,曾经,8.3
139531人评价,235,暖暖内含光,8.4
210538人评价,236,头脑特工队,8.7
81131人评价,237,千钧一发,8.7
121274人评价,238,遗愿清单,8.5
127417人评价,239,荒岛余生,8.5
92842人评价,240,蝴蝶,8.6
102032人评价,241,巴黎淘气帮,8.6
54380人评价,242,与狼共舞,8.9
138004人评价,243,月球,8.5
112300人评价,244,偷拐抢骗,8.5
53337人评价,245,我爱你,9.0
162760人评价,246,彗星来的那一夜,8.4
62390人评价,247,步履不停,8.8
78946人评价,248,寿司之神,8.8
191456人评价,249,夜访吸血鬼,8.3
94682人评价,250,廊桥遗梦,8.6
ranking,score,score_num,movie_name
1,9.6,896763人评价,肖申克的救赎
2,9.5,645894人评价,霸王别姬
3,9.4,854552人评价,这个杀手不太冷
4,9.4,727391人评价,阿甘正传
5,9.5,424573人评价,美丽人生
6,9.2,678404人评价,千与千寻
7,9.4,390823人评价,辛德勒的名单
8,9.2,669054人评价,泰坦尼克号
9,9.2,778442人评价,盗梦空间
10,9.3,508180人评价,机器人总动员
11,9.2,609388人评价,海上钢琴师
12,9.1,688307人评价,三傻大闹宝莱坞
13,9.2,466609人评价,忠犬八公的故事
14,9.2,462187人评价,放牛班的春天
15,9.2,499516人评价,大话西游之大圣娶亲
16,9.2,350469人评价,教父
17,9.1,427034人评价,龙猫
18,9.1,466685人评价,楚门的世界
19,9.2,275764人评价,乱世佳人
20,9.1,314721人评价,天堂电影院
21,9.1,373099人评价,触不可及
22,8.9,549204人评价,当幸福来敲门
23,9.2,260523人评价,熔炉
24,9.0,408428人评价,无间道
25,9.0,409824人评价,搏击俱乐部
26,9.4,174685人评价,十二怒汉
27,9.1,495220人评价,星际穿越
28,8.9,559340人评价,怦然心动
29,9.1,289236人评价,指环王3：王者无敌
30,9.0,587773人评价,少年派的奇幻漂流
31,9.0,338252人评价,天空之城
32,9.2,232885人评价,鬼子来了
33,9.0,326907人评价,蝙蝠侠：黑暗骑士
34,8.9,391448人评价,罗马假日
35,9.1,272011人评价,活着
36,8.9,403538人评价,大话西游之月光宝盒
37,9.0,276961人评价,两杆大烟枪
38,8.9,504201人评价,飞屋环游记
39,9.1,226075人评价,窃听风暴
40,9.0,280707人评价,飞越疯人院
41,9.3,183463人评价,海豚湾
42,8.9,325296人评价,闻香识女人
43,8.8,420966人评价,V字仇杀队
44,8.9,353041人评价,哈尔的移动城堡
45,9.6,89536人评价,控方证人
46,9.1,188659人评价,教父2
47,8.9,307529人评价,美丽心灵
48,8.9,272804人评价,指环王2：双塔奇兵
49,8.9,280179人评价,死亡诗社
50,8.9,304898人评价,指环王1：魔戒再现
51,8.8,377674人评价,情书
52,9.1,205579人评价,辩护人
53,8.7,484979人评价,天使爱美丽
54,9.1,175739人评价,美国往事
55,9.0,198752人评价,饮食男女
56,9.0,203909人评价,钢琴家
57,8.9,282823人评价,狮子王
58,8.7,437235人评价,七宗罪
59,9.2,498950人评价,疯狂动物城
60,8.9,283793人评价,被嫌弃的松子的一生
61,8.8,344807人评价,致命魔术
62,9.2,137230人评价,小鞋子
63,8.8,296243人评价,勇敢的心
64,8.7,485018人评价,剪刀手爱德华
65,8.9,232334人评价,音乐之声
66,8.8,334795人评价,低俗小说
67,9.1,177117人评价,素媛
68,8.7,393610人评价,本杰明·巴顿奇事
69,8.8,318935人评价,入殓师
70,8.8,280637人评价,黑客帝国
71,8.7,353283人评价,沉默的羔羊
72,8.8,237218人评价,拯救大兵瑞恩
73,8.7,346929人评价,西西里的美丽传说
74,8.9,232286人评价,玛丽和马克思
75,8.7,381141人评价,蝴蝶效应
76,8.8,244809人评价,春光乍泄
77,8.7,620767人评价,让子弹飞
78,8.7,269581人评价,心灵捕手
79,8.8,233802人评价,幽灵公主
80,9.2,97900人评价,大闹天宫
81,8.7,268847人评价,阳光灿烂的日子
82,8.8,234058人评价,第六感
83,8.6,327746人评价,重庆森林
84,8.7,251060人评价,大鱼
85,8.7,274388人评价,射雕英雄传之东成西就
86,8.6,356751人评价,禁闭岛
87,8.7,231238人评价,甜蜜蜜
88,8.8,266598人评价,阳光姐妹淘
89,8.9,157352人评价,上帝之城
90,8.9,154694人评价,一一
91,8.6,316056人评价,致命ID
92,9.0,125634人评价,狩猎
93,8.7,339665人评价,告白
94,8.9,162417人评价,末代皇帝
95,8.7,304847人评价,布达佩斯大饭店
96,8.6,340255人评价,加勒比海盗
97,8.6,315386人评价,断背山
98,8.7,217688人评价,爱在黎明破晓前
99,9.2,87003人评价,摩登时代
100,8.6,523872人评价,阿凡达
101,8.7,219954人评价,猫鼠游戏
102,8.7,249338人评价,哈利·波特与魔法石
103,8.8,174241人评价,风之谷
104,8.7,196305人评价,爱在日落黄昏时
105,8.8,165787人评价,侧耳倾听
106,8.9,140575人评价,穿条纹睡衣的男孩
107,8.7,247133人评价,看不见的客人
108,8.7,201489人评价,萤火虫之墓
109,8.7,348159人评价,消失的爱人
110,8.8,170018人评价,超脱
111,8.7,280562人评价,驯龙高手
112,8.7,178418人评价,菊次郎的夏天
113,8.6,244970人评价,倩女幽魂
114,8.7,214128人评价,恐怖直播
115,8.6,222398人评价,幸福终点站
116,9.0,98229人评价,海洋
117,9.2,76119人评价,七武士
118,8.9,129706人评价,红辣椒
119,8.6,303351人评价,岁月神偷
120,8.5,368366人评价,神偷奶爸
121,8.7,212851人评价,借东西的小人阿莉埃蒂
122,8.7,177971人评价,谍影重重3
123,8.6,195940人评价,电锯惊魂
124,8.6,206058人评价,杀人回忆
125,8.5,303730人评价,真爱至上
126,8.7,147318人评价,燃情岁月
127,8.6,207109人评价,雨人
128,8.5,391102人评价,贫民窟的百万富翁
129,8.6,245382人评价,东邪西毒
130,8.5,274784人评价,记忆碎片
131,8.9,105647人评价,虎口脱险
132,8.7,363940人评价,疯狂原始人
133,8.8,136177人评价,喜宴
134,8.6,234171人评价,怪兽电力公司
135,8.9,124419人评价,小森林 夏秋篇
136,8.5,303950人评价,喜剧之王
137,8.8,116854人评价,卢旺达饭店
138,8.5,409713人评价,黑天鹅
139,8.7,146833人评价,英雄本色
140,8.5,244996人评价,猜火车
141,8.6,182113人评价,穿越时空的少女
142,8.8,127218人评价,魂断蓝桥
143,8.5,275269人评价,恋恋笔记本
144,8.9,91471人评价,雨中曲
145,8.4,294411人评价,傲慢与偏见
146,8.7,126544人评价,教父3
147,9.0,77552人评价,完美的世界
148,8.7,140050人评价,纵横四海
149,8.7,152017人评价,萤火之森
150,8.8,188015人评价,玩具总动员3
151,8.6,266543人评价,哈利·波特与死亡圣器(下)
152,8.5,240352人评价,花样年华
153,8.8,81822人评价,二十二
154,8.6,168598人评价,7号房的礼物
155,8.6,185627人评价,人工智能
156,8.8,100065人评价,我是山姆
157,8.7,128729人评价,浪潮
158,8.6,160378人评价,海边的曼彻斯特
159,8.7,129878人评价,荒蛮故事
160,8.4,269651人评价,香水
161,8.4,263549人评价,冰川时代
162,8.5,273055人评价,朗读者
163,8.9,79740人评价,追随
164,8.6,170728人评价,撞车
165,8.9,106786人评价,小森林 冬春篇
166,8.7,120824人评价,罗生门
167,8.7,128880人评价,一次别离
168,8.6,191031人评价,时空恋旅人
169,8.6,153915人评价,心迷宫
170,8.4,311505人评价,唐伯虎点秋香
171,8.6,355733人评价,超能陆战队
172,8.5,286428人评价,蝙蝠侠：黑暗骑士崛起
173,8.5,170522人评价,战争之王
174,8.6,125471人评价,可可西里
175,8.7,108985人评价,梦之安魂曲
176,8.8,81432人评价,地球上的星星
177,8.7,106231人评价,碧海蓝天
178,8.8,91927人评价,未麻的部屋
179,8.6,228838人评价,爆裂鼓手
180,8.3,285561人评价,秒速5厘米
181,8.3,309794人评价,恐怖游轮
182,8.5,154567人评价,谍影重重2
183,8.5,174797人评价,阿飞正传
184,8.5,186451人评价,谍影重重
185,8.6,162493人评价,达拉斯买家俱乐部
186,8.7,102603人评价,牯岭街少年杀人事件
187,8.6,162118人评价,海盗电台
188,8.8,79635人评价,惊魂记
189,8.4,187415人评价,魔女宅急便
